date,type,value
05-12-19 6:10:04,1,3572
05-12-19 6:10:04,3,2234
05-12-19 6:10:10,4,2102
05-12-19 6:10:12,4,2354
05-12-19 6:10:12,4,2266
05-12-19 6:10:13,4,2747
05-12-19 6:10:16,1,1983
05-12-19 6:10:17,4,3490
05-12-19 6:10:17,3,3001
05-12-19 6:10:18,3,4215
05-12-19 6:10:19,3,4029
05-12-19 6:10:20,3,2762
05-12-19 6:10:20,3,3002
05-12-19 6:10:21,3,2384
05-12-19 6:10:21,2,2945
05-12-19 6:10:22,1,4431
05-12-19 6:10:24,1,2191
05-12-19 6:10:26,2,1636
05-12-19 6:10:26,3,4464
05-12-19 6:10:26,1,4405
05-12-19 6:10:29,4,4550
05-12-19 6:10:31,1,2185
05-12-19 6:10:32,2,4414
05-12-19 6:10:34,4,1600
05-12-19 6:10:36,3,3788
05-12-19 6:10:36,3,4084
05-12-19 6:10:37,3,2909
05-12-19 6:10:37,4,3593
05-12-19 6:10:37,3,4338
05-12-19 6:10:43,3,3425
05-12-19 6:10:44,1,2201
05-12-19 6:10:45,2,3852
05-12-19 6:10:46,2,2876
05-12-19 6:10:46,2,3426
05-12-19 6:10:48,2,2947
05-12-19 6:10:49,2,2083
05-12-19 6:10:52,2,1651
05-12-19 6:10:53,2,2078
05-12-19 6:10:56,4,3539
05-12-19 6:10:57,1,3503
05-12-19 6:10:57,1,4069
05-12-19 6:10:59,2,4337
05-12-19 6:11:00,3,4352
05-12-19 6:11:02,2,3429
05-12-19 6:11:03,1,1933
05-12-19 6:11:03,4,4311
05-12-19 6:11:08,1,2943
05-12-19 6:11:09,2,3426
05-12-19 6:11:09,3,3245
05-12-19 6:11:10,4,1478
05-12-19 6:11:10,2,2933
05-12-19 6:11:10,1,4551
05-12-19 6:11:12,1,3426
05-12-19 6:11:12,4,4043
05-12-19 6:11:12,4,1594
05-12-19 6:11:12,3,4042
05-12-19 6:11:14,1,1621
05-12-19 6:11:15,3,2769
05-12-19 6:11:17,1,3198
05-12-19 6:11:18,3,3901
05-12-19 6:11:19,1,4425
05-12-19 6:11:20,1,4454
05-12-19 6:11:23,4,2787
05-12-19 6:11:24,2,3991
05-12-19 6:11:25,3,2668
05-12-19 6:11:25,1,3271
05-12-19 6:11:26,3,3723
05-12-19 6:11:28,1,4439
05-12-19 6:11:28,3,2777
05-12-19 6:11:29,2,4376
05-12-19 6:11:30,2,4304
05-12-19 6:11:31,4,4569
05-12-19 6:11:32,4,4405
05-12-19 6:11:32,1,1614
05-12-19 6:11:34,2,2283
05-12-19 6:11:34,1,4033
05-12-19 6:11:35,1,3256
05-12-19 6:11:37,1,4262
05-12-19 6:11:37,1,1456
05-12-19 6:11:38,1,1513
05-12-19 6:11:38,2,2100
05-12-19 6:11:39,2,4369
05-12-19 6:11:40,2,3900
05-12-19 6:11:45,4,2253
05-12-19 6:11:49,4,2533
05-12-19 6:11:51,4,1712
05-12-19 6:11:51,1,4243
05-12-19 6:11:51,2,3688
05-12-19 6:11:53,2,4335
05-12-19 6:11:57,1,2721
05-12-19 6:11:57,1,2718
05-12-19 6:11:57,2,2721
05-12-19 6:11:57,1,4021
05-12-19 6:11:58,3,3063
05-12-19 6:12:04,4,1499
05-12-19 6:12:05,4,1926
05-12-19 6:12:07,3,3333
05-12-19 6:12:09,1,2801
05-12-19 6:12:11,3,4505
05-12-19 6:12:12,3,4506
05-12-19 6:12:12,2,4490
05-12-19 6:12:13,3,3671
05-12-19 6:12:15,1,2845
05-12-19 6:12:15,3,2573
05-12-19 6:12:15,4,1938
05-12-19 6:12:16,4,2239
05-12-19 6:12:22,1,2854
05-12-19 6:12:23,1,1560
05-12-19 6:12:23,2,3230
05-12-19 6:12:23,4,4323
05-12-19 6:12:24,4,2795
05-12-19 6:12:26,4,4465
05-12-19 6:12:26,3,4399
05-12-19 6:12:27,3,4371
05-12-19 6:12:28,1,1676
05-12-19 6:12:29,1,3648
05-12-19 6:12:29,1,3221
05-12-19 6:12:29,3,3648
05-12-19 6:12:32,3,4089
05-12-19 6:12:35,4,4357
05-12-19 6:12:35,3,1547
05-12-19 6:12:35,2,4327
05-12-19 6:12:37,3,4227
05-12-19 6:12:38,3,2195
05-12-19 6:12:40,3,3343
05-12-19 6:12:40,1,4313
05-12-19 6:12:42,1,4408
05-12-19 6:12:49,3,4390
05-12-19 6:12:49,1,3914
05-12-19 6:12:49,4,4390
05-12-19 6:12:51,3,4184
05-12-19 6:12:51,4,2515
05-12-19 6:12:51,4,2763
05-12-19 6:12:51,2,3616
05-12-19 6:12:53,4,4185
05-12-19 6:12:58,3,2750
05-12-19 6:13:00,4,4164
05-12-19 6:13:04,2,4245
05-12-19 6:13:05,1,2253
05-12-19 6:13:07,2,3427
05-12-19 6:13:07,4,4335
05-12-19 6:13:08,2,3973
05-12-19 6:13:10,1,1453
05-12-19 6:13:12,3,2131
05-12-19 6:13:13,2,3003
05-12-19 6:13:13,3,4540
05-12-19 6:13:15,2,2030
05-12-19 6:13:16,3,3495
05-12-19 6:13:16,1,2430
05-12-19 6:13:17,1,4336
05-12-19 6:13:18,4,3755
05-12-19 6:13:18,1,1696
05-12-19 6:13:18,2,1696
05-12-19 6:13:19,3,3265
05-12-19 6:13:19,2,2968
05-12-19 6:13:20,1,2123
05-12-19 6:13:21,1,2124
05-12-19 6:13:21,3,3148
05-12-19 6:13:22,1,1770
05-12-19 6:13:24,1,4526
05-12-19 6:13:26,3,3281
05-12-19 6:13:26,2,4267
05-12-19 6:13:35,4,4418
05-12-19 6:13:36,3,3659
05-12-19 6:13:36,3,3024
05-12-19 6:13:36,2,3658
05-12-19 6:13:37,2,2635
05-12-19 6:13:38,1,4468
05-12-19 6:13:39,2,4401
05-12-19 6:13:39,2,2552
05-12-19 6:13:40,2,4018
05-12-19 6:13:42,1,2310
05-12-19 6:13:43,4,4208
05-12-19 6:13:46,1,1747
05-12-19 6:13:47,3,4277
05-12-19 6:13:49,1,1583
05-12-19 6:13:51,2,4358
05-12-19 6:13:53,1,4428
05-12-19 6:13:54,1,4552
05-12-19 6:13:57,2,2994
05-12-19 6:13:57,1,1943
05-12-19 6:13:58,1,2824
05-12-19 6:13:58,3,3112
05-12-19 6:14:00,2,4487
05-12-19 6:14:02,2,3016
05-12-19 6:14:04,2,1627
05-12-19 6:14:05,2,1728
05-12-19 6:14:05,1,4472
05-12-19 6:14:05,1,3872
05-12-19 6:14:06,1,3273
05-12-19 6:14:10,4,3843
05-12-19 6:14:18,2,3183
05-12-19 6:14:19,4,3647
05-12-19 6:14:21,3,2617
05-12-19 6:14:21,1,2893
05-12-19 6:14:22,1,1555
05-12-19 6:14:23,3,3274
05-12-19 6:14:24,3,4292
05-12-19 6:14:27,1,3414
05-12-19 6:14:28,2,1954
05-12-19 6:14:32,3,3493
05-12-19 6:14:32,2,3559
05-12-19 6:14:33,1,2139
05-12-19 6:14:33,2,2763
05-12-19 6:14:33,1,2325
05-12-19 6:14:38,1,4463
05-12-19 6:14:38,1,4564
05-12-19 6:14:40,2,3566
05-12-19 6:14:45,2,4345
05-12-19 6:14:46,1,3025
05-12-19 6:14:47,2,4412
05-12-19 6:14:49,2,3109
05-12-19 6:14:49,1,1640
05-12-19 6:14:51,1,3724
05-12-19 6:14:51,1,2020
05-12-19 6:14:52,4,4356
05-12-19 6:14:53,3,4132
05-12-19 6:14:55,3,2160
05-12-19 6:14:55,2,2422
05-12-19 6:14:55,1,4225
05-12-19 6:14:56,1,4452
05-12-19 6:14:56,1,4540
05-12-19 6:14:57,3,4051
05-12-19 6:14:57,1,4319
05-12-19 6:14:57,1,4050
05-12-19 6:14:57,1,4440
05-12-19 6:14:57,1,4550
05-12-19 6:14:58,2,3878
05-12-19 6:14:58,3,2338
05-12-19 6:15:00,1,3613
05-12-19 6:15:02,4,3756
05-12-19 6:15:02,2,1696
05-12-19 6:15:05,2,4554
05-12-19 6:15:08,4,4508
05-12-19 6:15:12,2,4407
05-12-19 6:15:12,1,4077
05-12-19 6:15:13,2,2733
05-12-19 6:15:17,1,4118
05-12-19 6:15:18,2,2786
05-12-19 6:15:19,1,2671
05-12-19 6:15:20,2,2001
05-12-19 6:15:20,3,1751
05-12-19 6:15:21,4,4549
05-12-19 6:15:21,3,2588
05-12-19 6:15:21,3,2269
05-12-19 6:15:22,2,4078
05-12-19 6:15:23,4,1520
05-12-19 6:15:24,2,2281
05-12-19 6:15:24,3,2157
05-12-19 6:15:25,3,4394
05-12-19 6:15:26,2,2830
05-12-19 6:15:26,1,3749
05-12-19 6:15:27,3,1981
05-12-19 6:15:29,1,3708
05-12-19 6:15:30,2,1470
05-12-19 6:15:30,4,1586
05-12-19 6:15:31,3,2775
05-12-19 6:15:31,1,4448
05-12-19 6:15:32,1,4477
05-12-19 6:15:35,2,4527
05-12-19 6:15:37,1,4504
05-12-19 6:15:39,1,2064
05-12-19 6:15:42,3,4336
05-12-19 6:15:42,4,2579
05-12-19 6:15:43,1,4359
05-12-19 6:15:44,2,1630
05-12-19 6:15:45,4,1938
05-12-19 6:15:50,2,1515
05-12-19 6:15:56,4,1805
05-12-19 6:15:56,4,1913
05-12-19 6:15:58,1,4120
05-12-19 6:15:58,4,4121
05-12-19 6:15:59,2,4120
05-12-19 6:16:00,1,2755
05-12-19 6:16:03,1,1664
05-12-19 6:16:03,1,2729
05-12-19 6:16:04,1,4556
05-12-19 6:16:04,3,4556
05-12-19 6:16:06,1,2161
05-12-19 6:16:07,4,4485
05-12-19 6:16:09,4,3584
05-12-19 6:16:09,3,3912
05-12-19 6:16:12,2,4429
05-12-19 6:16:14,4,2997
05-12-19 6:16:15,4,4153
05-12-19 6:16:19,2,1988
05-12-19 6:16:20,2,4452
05-12-19 6:16:20,2,4397
05-12-19 6:16:22,2,4298
05-12-19 6:16:25,2,3988
05-12-19 6:16:26,2,3042
05-12-19 6:16:26,3,2538
05-12-19 6:16:27,3,4441
05-12-19 6:16:27,1,1496
05-12-19 6:16:28,1,3693
05-12-19 6:16:28,2,3894
05-12-19 6:16:29,1,4557
05-12-19 6:16:31,1,3103
05-12-19 6:16:32,2,1615
05-12-19 6:16:33,3,3928
05-12-19 6:16:34,4,1478
05-12-19 6:16:35,1,3071
05-12-19 6:16:35,3,4000
05-12-19 6:16:37,3,2125
05-12-19 6:16:40,2,2355
05-12-19 6:16:43,3,4302
05-12-19 6:16:43,1,4427
05-12-19 6:16:43,4,3241
05-12-19 6:16:43,4,2222
05-12-19 6:16:45,2,2211
05-12-19 6:16:46,4,2400
05-12-19 6:16:48,2,4556
05-12-19 6:16:48,4,4192
05-12-19 6:16:49,1,1965
05-12-19 6:16:50,2,2153
05-12-19 6:16:52,1,4486
05-12-19 6:16:54,2,1946
05-12-19 6:16:55,1,3418
05-12-19 6:16:55,3,4005
05-12-19 6:17:00,4,4560
05-12-19 6:17:00,2,1588
05-12-19 6:17:01,1,2749
05-12-19 6:17:02,3,1918
05-12-19 6:17:03,1,2555
05-12-19 6:17:03,1,1475
05-12-19 6:17:04,3,3024
05-12-19 6:17:04,1,4560
05-12-19 6:17:05,4,2755
05-12-19 6:17:07,4,3472
05-12-19 6:17:08,2,4325
05-12-19 6:17:08,1,2355
05-12-19 6:17:10,4,3628
05-12-19 6:17:11,2,4558
05-12-19 6:17:12,3,3115
05-12-19 6:17:13,3,2978
05-12-19 6:17:14,1,3884
05-12-19 6:17:14,4,1600
05-12-19 6:17:15,4,3219
05-12-19 6:17:18,3,4055
05-12-19 6:17:18,1,4053
05-12-19 6:17:18,2,3684
05-12-19 6:17:20,1,4535
05-12-19 6:17:21,3,3056
05-12-19 6:17:21,2,1487
05-12-19 6:17:24,1,1704
05-12-19 6:17:25,4,4449
05-12-19 6:17:26,3,3524
05-12-19 6:17:28,3,2818
05-12-19 6:17:29,4,1953
05-12-19 6:17:29,3,3108
05-12-19 6:17:30,4,2604
05-12-19 6:17:30,1,4245
05-12-19 6:17:31,3,4342
05-12-19 6:17:32,3,1856
05-12-19 6:17:33,1,2476
05-12-19 6:17:38,1,1572
05-12-19 6:17:38,3,2291
05-12-19 6:17:38,1,4241
05-12-19 6:17:39,3,4393
05-12-19 6:17:39,4,2649
05-12-19 6:17:40,1,1488
05-12-19 6:17:41,4,3515
05-12-19 6:17:41,3,4030
05-12-19 6:17:41,2,3513
05-12-19 6:17:42,1,1609
05-12-19 6:17:43,2,2833
05-12-19 6:17:45,3,4491
05-12-19 6:17:48,1,3477
05-12-19 6:17:48,1,4357
05-12-19 6:17:48,3,2647
05-12-19 6:17:49,2,2808
05-12-19 6:17:51,2,4143
05-12-19 6:17:52,1,1603
05-12-19 6:17:52,1,2192
05-12-19 6:17:53,2,1686
05-12-19 6:17:53,2,4055
05-12-19 6:17:54,2,2984
05-12-19 6:17:55,3,4148
05-12-19 6:17:56,4,1802
05-12-19 6:17:56,2,1620
05-12-19 6:17:56,2,3585
05-12-19 6:17:56,3,2609
05-12-19 6:17:58,3,1576
05-12-19 6:17:59,2,2609
05-12-19 6:18:00,1,4292
05-12-19 6:18:01,2,1590
05-12-19 6:18:04,4,4365
05-12-19 6:18:05,3,1661
05-12-19 6:18:05,4,4394
05-12-19 6:18:05,2,3145
05-12-19 6:18:06,4,4400
05-12-19 6:18:06,2,1713
05-12-19 6:18:07,4,4401
05-12-19 6:18:07,4,4443
05-12-19 6:18:10,2,3593
05-12-19 6:18:11,1,4402
05-12-19 6:18:12,2,2533
05-12-19 6:18:13,2,2826
05-12-19 6:18:15,2,2321
05-12-19 6:18:17,4,1982
05-12-19 6:18:19,3,3269
05-12-19 6:18:19,3,2088
05-12-19 6:18:20,4,4569
05-12-19 6:18:24,1,3948
05-12-19 6:18:24,4,1759
05-12-19 6:18:24,2,4385
05-12-19 6:18:25,1,3713
05-12-19 6:18:27,2,3073
05-12-19 6:18:27,3,3363
05-12-19 6:18:27,4,3376
05-12-19 6:18:29,2,3638
05-12-19 6:18:30,1,4459
05-12-19 6:18:30,1,4241
05-12-19 6:18:31,1,4245
05-12-19 6:18:34,2,2444
05-12-19 6:18:40,4,2723
05-12-19 6:18:41,4,1930
05-12-19 6:18:41,1,3191
05-12-19 6:18:42,2,4568
05-12-19 6:18:43,4,4296
05-12-19 6:18:43,4,4569
05-12-19 6:18:44,1,1654
05-12-19 6:18:44,1,2314
05-12-19 6:18:45,1,4315
05-12-19 6:18:48,2,3891
05-12-19 6:18:51,2,3182
05-12-19 6:18:51,1,4418
05-12-19 6:18:52,1,4567
05-12-19 6:18:52,1,4443
05-12-19 6:18:52,4,4317
05-12-19 6:18:53,3,1612
05-12-19 6:19:00,2,4045
05-12-19 6:19:00,1,4436
05-12-19 6:19:00,4,2532
05-12-19 6:19:03,1,3111
05-12-19 6:19:04,4,2904
05-12-19 6:19:04,4,4548
05-12-19 6:19:07,1,1682
05-12-19 6:19:08,2,4493
05-12-19 6:19:09,2,2231
05-12-19 6:19:09,1,2710
05-12-19 6:19:12,4,4550
05-12-19 6:19:14,4,3004
05-12-19 6:19:17,1,3124
05-12-19 6:19:18,1,4440
05-12-19 6:19:21,1,1549
05-12-19 6:19:22,1,2796
05-12-19 6:19:24,1,1734
05-12-19 6:19:24,4,3839
05-12-19 6:19:27,3,2617
05-12-19 6:19:27,2,1609
05-12-19 6:19:28,4,1680
05-12-19 6:19:28,4,3625
05-12-19 6:19:30,1,4344
05-12-19 6:19:30,2,4372
05-12-19 6:19:30,3,3283
05-12-19 6:19:31,1,3291
05-12-19 6:19:31,2,1961
05-12-19 6:19:33,1,1615
05-12-19 6:19:35,4,2774
05-12-19 6:19:36,1,1489
05-12-19 6:19:37,2,4534
05-12-19 6:19:37,3,4227
05-12-19 6:19:39,2,2203
05-12-19 6:19:39,4,1724
05-12-19 6:19:40,1,4283
05-12-19 6:19:40,1,1870
05-12-19 6:19:41,2,4306
05-12-19 6:19:42,3,3080
05-12-19 6:19:43,2,4450
05-12-19 6:19:45,2,3244
05-12-19 6:19:46,2,2945
05-12-19 6:19:47,3,3736
05-12-19 6:19:51,2,3794
05-12-19 6:19:53,2,4267
05-12-19 6:19:56,4,2940
05-12-19 6:19:57,1,4510
05-12-19 6:19:57,3,1650
05-12-19 6:19:58,2,1629
05-12-19 6:20:00,2,1525
05-12-19 6:20:00,1,4544
05-12-19 6:20:00,2,4486
05-12-19 6:20:02,4,3792
05-12-19 6:20:06,2,3636
05-12-19 6:20:08,2,3566
05-12-19 6:20:10,3,4472
05-12-19 6:20:11,3,2736
05-12-19 6:20:16,2,2106
05-12-19 6:20:17,3,3475
05-12-19 6:20:17,2,2367
05-12-19 6:20:18,2,3921
05-12-19 6:20:18,1,1629
05-12-19 6:20:19,2,3132
05-12-19 6:20:20,2,1763
05-12-19 6:20:22,1,2389
05-12-19 6:20:27,3,1663
05-12-19 6:20:29,2,4536
05-12-19 6:20:30,4,2209
05-12-19 6:20:32,3,2664
05-12-19 6:20:33,4,4385
05-12-19 6:20:33,2,4060
05-12-19 6:20:35,2,2754
05-12-19 6:20:35,1,3688
05-12-19 6:20:37,1,4431
05-12-19 6:20:37,4,4393
05-12-19 6:20:38,3,2066
05-12-19 6:20:38,1,1662
05-12-19 6:20:39,1,3429
05-12-19 6:20:39,4,4447
05-12-19 6:20:39,3,2300
05-12-19 6:20:39,2,3050
05-12-19 6:20:39,3,4354
05-12-19 6:20:41,4,2311
05-12-19 6:20:42,4,3316
05-12-19 6:20:42,1,2195
05-12-19 6:20:44,2,3451
05-12-19 6:20:44,2,4395
05-12-19 6:20:45,3,1653
05-12-19 6:20:50,3,2518
05-12-19 6:20:50,1,3127
05-12-19 6:20:51,2,1563
05-12-19 6:20:52,3,3400
05-12-19 6:20:53,2,3391
05-12-19 6:20:54,3,4432
05-12-19 6:20:57,1,1612
05-12-19 6:21:00,3,3896
05-12-19 6:21:00,2,2301
05-12-19 6:21:00,4,3365
05-12-19 6:21:01,1,1892
05-12-19 6:21:03,4,3944
05-12-19 6:21:03,1,2298
05-12-19 6:21:04,3,4512
05-12-19 6:21:05,4,2664
05-12-19 6:21:07,2,4014
05-12-19 6:21:07,1,4424
05-12-19 6:21:07,1,3463
05-12-19 6:21:09,4,2573
05-12-19 6:21:09,4,4246
05-12-19 6:21:09,4,4527
05-12-19 6:21:10,4,4536
05-12-19 6:21:11,1,4371
05-12-19 6:21:11,1,4372
05-12-19 6:21:12,4,1943
05-12-19 6:21:12,1,1511
05-12-19 6:21:13,4,4341
05-12-19 6:21:14,1,4426
05-12-19 6:21:15,3,2330
05-12-19 6:21:15,4,2525
05-12-19 6:21:16,4,4377
05-12-19 6:21:17,1,2769
05-12-19 6:21:17,2,3612
05-12-19 6:21:18,4,2332
05-12-19 6:21:18,4,3581
05-12-19 6:21:18,2,3581
05-12-19 6:21:19,4,1707
05-12-19 6:21:20,4,2436
05-12-19 6:21:21,4,2935
05-12-19 6:21:22,1,2001
05-12-19 6:21:22,2,2002
05-12-19 6:21:24,2,2322
05-12-19 6:21:25,2,2277
05-12-19 6:21:26,2,1553
05-12-19 6:21:29,2,4479
05-12-19 6:21:31,4,2345
05-12-19 6:21:31,2,2615
05-12-19 6:21:31,2,4461
05-12-19 6:21:33,2,3826
05-12-19 6:21:35,3,2823
05-12-19 6:21:37,4,2325
05-12-19 6:21:39,2,3484
05-12-19 6:21:40,1,4274
05-12-19 6:21:40,1,4057
05-12-19 6:21:45,3,4120
05-12-19 6:21:47,4,3742
05-12-19 6:21:48,1,4215
05-12-19 6:21:49,4,1456
05-12-19 6:21:50,1,1652
05-12-19 6:21:51,3,1612
05-12-19 6:21:52,2,3255
05-12-19 6:21:53,3,1720
05-12-19 6:21:53,2,1716
05-12-19 6:21:55,2,2780
05-12-19 6:21:57,3,4515
05-12-19 6:21:57,1,2721
05-12-19 6:21:58,4,1724
05-12-19 6:21:58,1,3003
05-12-19 6:22:00,2,2387
05-12-19 6:22:00,1,2032
05-12-19 6:22:01,4,3090
05-12-19 6:22:01,3,3205
05-12-19 6:22:01,2,3270
05-12-19 6:22:01,2,2720
05-12-19 6:22:01,3,4519
05-12-19 6:22:02,3,4449
05-12-19 6:22:03,1,4427
05-12-19 6:22:06,1,4471
05-12-19 6:22:06,4,3113
05-12-19 6:22:06,3,2121
05-12-19 6:22:06,4,4459
05-12-19 6:22:08,2,1941
05-12-19 6:22:08,1,1495
05-12-19 6:22:09,3,4350
05-12-19 6:22:09,1,4424
05-12-19 6:22:10,3,4325
05-12-19 6:22:12,4,2195
05-12-19 6:22:13,1,3960
05-12-19 6:22:13,2,3829
05-12-19 6:22:14,3,2795
05-12-19 6:22:16,3,4187
05-12-19 6:22:18,4,1548
05-12-19 6:22:18,3,4212
05-12-19 6:22:19,1,3533
05-12-19 6:22:19,2,1627
05-12-19 6:22:20,1,4263
05-12-19 6:22:20,1,4261
05-12-19 6:22:22,4,2497
05-12-19 6:22:23,4,3823
05-12-19 6:22:27,3,1870
05-12-19 6:22:28,3,3281
05-12-19 6:22:30,1,1559
05-12-19 6:22:32,3,2981
05-12-19 6:22:32,2,4568
05-12-19 6:22:32,1,3945
05-12-19 6:22:32,3,2233
05-12-19 6:22:33,4,2510
05-12-19 6:22:35,1,4346
05-12-19 6:22:35,4,1756
05-12-19 6:22:35,2,4346
05-12-19 6:22:36,2,3648
05-12-19 6:22:39,2,3321
05-12-19 6:22:40,4,4330
05-12-19 6:22:42,1,4440
05-12-19 6:22:44,4,4416
05-12-19 6:22:45,1,4003
05-12-19 6:22:46,4,3978
05-12-19 6:22:46,2,1628
05-12-19 6:22:46,3,3910
05-12-19 6:22:48,1,1924
05-12-19 6:22:48,1,4445
05-12-19 6:22:49,1,1512
05-12-19 6:22:51,2,1513
05-12-19 6:22:56,3,3882
05-12-19 6:22:58,3,4409
05-12-19 6:23:00,4,1739
05-12-19 6:23:01,4,4465
05-12-19 6:23:01,3,1835
05-12-19 6:23:01,3,4222
05-12-19 6:23:03,1,2441
05-12-19 6:23:03,1,4315
05-12-19 6:23:03,2,1711
05-12-19 6:23:03,4,3926
05-12-19 6:23:06,2,2472
05-12-19 6:23:07,3,2465
05-12-19 6:23:08,4,1940
05-12-19 6:23:10,4,2704
05-12-19 6:23:13,3,3404
05-12-19 6:23:13,2,4464
