date,value,type
6:10:59,4337,2
6:11:00,4352,3
6:11:02,3429,2
6:11:03,1933,1
6:11:03,4311,4
6:11:08,2943,1
6:11:09,3426,2
6:11:09,3245,3
6:11:10,1478,4
6:11:10,2933,2
6:11:10,4551,1
6:11:12,3426,1
6:11:12,4043,4
6:11:12,1594,4
6:11:12,4042,3
6:11:14,1621,1
6:11:15,2769,3
6:11:17,3198,1
6:11:18,3901,3
6:11:19,4425,1
6:11:20,4454,1
6:11:23,2787,4
6:11:24,3991,2
6:11:25,2668,3
6:11:25,3271,1
6:11:26,3723,3
6:11:28,4439,1
6:11:28,2777,3
6:11:29,4376,2
6:11:30,4304,2
6:11:31,4569,4
6:11:32,4405,4
6:11:32,1614,1
6:11:34,2283,2
6:11:34,4033,1
6:11:35,3256,1
6:11:37,4262,1
6:11:37,1456,1
6:11:38,1513,1
6:11:38,2100,2
6:11:39,4369,2
6:11:40,3900,2
6:11:45,2253,4
6:11:49,2533,4
6:11:51,1712,4
6:11:51,4243,1
6:11:51,3688,2
6:11:53,4335,2
6:11:57,2721,1
6:11:57,2718,1
6:11:57,2721,2
6:11:57,4021,1
6:11:58,3063,3
6:12:04,1499,4
6:12:05,1926,4
6:12:07,3333,3
6:12:09,2801,1
6:12:11,4505,3
6:12:12,4506,3
6:12:12,4490,2
6:12:13,3671,3
6:12:15,2845,1
6:12:15,2573,3
6:12:15,1938,4
6:12:16,2239,4
6:12:22,2854,1
6:12:23,1560,1
6:12:23,3230,2
6:12:23,4323,4
6:12:24,2795,4
6:12:26,4465,4
6:12:26,4399,3
6:12:27,4371,3
6:12:28,1676,1
6:12:29,3648,1
6:12:29,3221,1
6:12:29,3648,3
6:12:32,4089,3
6:12:35,4357,4
6:12:35,1547,3
6:12:35,4327,2
6:12:37,4227,3
6:12:38,2195,3
6:12:40,3343,3
6:12:40,4313,1
6:12:42,4408,1
6:12:49,4390,3
6:12:49,3914,1
6:12:49,4390,4
6:12:51,4184,3
6:12:51,2515,4
6:12:51,2763,4
6:12:51,3616,2
6:12:53,4185,4
6:12:58,2750,3
6:13:00,4164,4
6:13:04,4245,2
6:13:05,2253,1
6:13:07,3427,2
6:13:07,4335,4
6:13:08,3973,2
6:13:10,1453,1
6:13:12,2131,3
6:13:13,3003,2
6:13:13,4540,3
6:13:15,2030,2
6:13:16,3495,3
6:13:16,2430,1
6:13:17,4336,1
6:13:18,3755,4
6:13:18,1696,1
6:13:18,1696,2
6:13:19,3265,3
6:13:19,2968,2
6:13:20,2123,1
6:13:21,2124,1
6:13:21,3148,3
6:13:22,1770,1
6:13:24,4526,1
6:13:26,3281,3
6:13:26,4267,2
6:13:35,4418,4
6:13:36,3659,3
6:13:36,3024,3
6:13:36,3658,2
6:13:37,2635,2
6:13:38,4468,1
6:13:39,4401,2
6:13:39,2552,2
6:13:40,4018,2
6:13:42,2310,1
6:13:43,4208,4
6:13:46,1747,1
6:13:47,4277,3
6:13:49,1583,1
6:13:51,4358,2
6:13:53,4428,1
6:13:54,4552,1
6:13:57,2994,2
6:13:57,1943,1
6:13:58,2824,1
6:13:58,3112,3
6:14:00,4487,2
6:14:02,3016,2
6:14:04,1627,2
6:14:05,1728,2
6:14:05,4472,1
6:14:05,3872,1
6:14:06,3273,1
6:14:10,3843,4
6:14:18,3183,2
6:14:19,3647,4
6:14:21,2617,3
6:14:21,2893,1
6:14:22,1555,1
6:14:23,3274,3
6:14:24,4292,3
6:14:27,3414,1
6:14:28,1954,2
6:14:32,3493,3
6:14:32,3559,2
6:14:33,2139,1
6:14:33,2763,2
6:14:33,2325,1
6:14:38,4463,1
6:14:38,4564,1
6:14:40,3566,2
6:14:45,4345,2
6:14:46,3025,1
6:14:47,4412,2
6:14:49,3109,2
6:14:49,1640,1
6:14:51,3724,1
6:14:51,2020,1
6:14:52,4356,4
6:14:53,4132,3
6:14:55,2160,3
6:14:55,2422,2
6:14:55,4225,1
6:14:56,4452,1
6:14:56,4540,1
6:14:57,4051,3
6:14:57,4319,1
6:14:57,4050,1
6:14:57,4440,1
6:14:57,4550,1
6:14:58,3878,2
6:14:58,2338,3
6:15:00,3613,1
6:15:02,3756,4
6:15:02,1696,2
6:15:05,4554,2
6:15:08,4508,4
6:15:12,4407,2
6:15:12,4077,1
6:15:13,2733,2
6:15:17,4118,1
6:15:18,2786,2
6:15:19,2671,1
6:15:20,2001,2
6:15:20,1751,3
6:15:21,4549,4
6:15:21,2588,3
6:15:21,2269,3
6:15:22,4078,2
6:15:23,1520,4
6:15:24,2281,2
6:15:24,2157,3
6:15:25,4394,3
6:15:26,2830,2
6:15:26,3749,1
6:15:27,1981,3
6:15:29,3708,1
6:15:30,1470,2
6:15:30,1586,4
6:15:31,2775,3
6:15:31,4448,1
6:15:32,4477,1
6:15:35,4527,2
6:15:37,4504,1
6:15:39,2064,1
6:15:42,4336,3
6:15:42,2579,4
6:15:43,4359,1
6:15:44,1630,2
6:15:45,1938,4
6:15:50,1515,2
6:15:56,1805,4
6:15:56,1913,4
6:15:58,4120,1
6:15:58,4121,4
6:15:59,4120,2
6:16:00,2755,1
6:16:03,1664,1
6:16:03,2729,1
6:16:04,4556,1
6:16:04,4556,3
6:16:06,2161,1
6:16:07,4485,4
6:16:09,3584,4
6:16:09,3912,3
6:16:12,4429,2
6:16:14,2997,4
6:16:15,4153,4
6:16:19,1988,2
6:16:20,4452,2
6:16:20,4397,2
6:16:22,4298,2
6:16:25,3988,2
6:16:26,3042,2
6:16:26,2538,3
6:16:27,4441,3
6:16:27,1496,1
6:16:28,3693,1
6:16:28,3894,2
6:16:29,4557,1
6:16:31,3103,1
6:16:32,1615,2
6:16:33,3928,3
6:16:34,1478,4
6:16:35,3071,1
6:16:35,4000,3
6:16:37,2125,3
6:16:40,2355,2
6:16:43,4302,3
6:16:43,4427,1
6:16:43,3241,4
6:16:43,2222,4
6:16:45,2211,2
6:16:46,2400,4
6:16:48,4556,2
6:16:48,4192,4
6:16:49,1965,1
6:16:50,2153,2
6:16:52,4486,1
6:16:54,1946,2
6:16:55,3418,1
6:16:55,4005,3
6:17:00,4560,4
6:17:00,1588,2
6:17:01,2749,1
6:17:02,1918,3
6:17:03,2555,1
6:17:03,1475,1
6:17:04,3024,3
6:17:04,4560,1
6:17:05,2755,4
6:17:07,3472,4
6:17:08,4325,2
6:17:08,2355,1
6:17:10,3628,4
6:17:11,4558,2
6:17:12,3115,3
6:17:13,2978,3
6:17:14,3884,1
6:17:14,1600,4
6:17:15,3219,4
6:17:18,4055,3
6:17:18,4053,1
6:17:18,3684,2
6:17:20,4535,1
6:17:21,3056,3
6:17:21,1487,2
6:17:24,1704,1
6:17:25,4449,4
6:17:26,3524,3
6:17:28,2818,3
6:17:29,1953,4
6:17:29,3108,3
6:17:30,2604,4
6:17:30,4245,1
6:17:31,4342,3
6:17:32,1856,3
6:17:33,2476,1
6:17:38,1572,1
6:17:38,2291,3
6:17:38,4241,1
6:17:39,4393,3
6:17:39,2649,4
6:17:40,1488,1
6:17:41,3515,4
6:17:41,4030,3
6:17:41,3513,2
6:17:42,1609,1
6:17:43,2833,2
6:17:45,4491,3
6:17:48,3477,1
6:17:48,4357,1
6:17:48,2647,3
6:17:49,2808,2
6:17:51,4143,2
6:17:52,1603,1
6:17:52,2192,1
6:17:53,1686,2
6:17:53,4055,2
6:17:54,2984,2
6:17:55,4148,3
6:17:56,1802,4
6:17:56,1620,2
6:17:56,3585,2
6:17:56,2609,3
6:17:58,1576,3
6:17:59,2609,2
6:18:00,4292,1
6:18:01,1590,2
6:18:04,4365,4
6:18:05,1661,3
6:18:05,4394,4
6:18:05,3145,2
6:18:06,4400,4
6:18:06,1713,2
6:18:07,4401,4
6:18:07,4443,4
6:18:10,3593,2
6:18:11,4402,1
6:18:12,2533,2
6:18:13,2826,2
6:18:15,2321,2
6:18:17,1982,4
6:18:19,3269,3
6:18:19,2088,3
6:18:20,4569,4
6:18:24,3948,1
6:18:24,1759,4
6:18:24,4385,2
6:18:25,3713,1
6:18:27,3073,2
6:18:27,3363,3
6:18:27,3376,4
6:18:29,3638,2
6:18:30,4459,1
6:18:30,4241,1
6:18:31,4245,1
6:18:34,2444,2
6:18:40,2723,4
6:18:41,1930,4
6:18:41,3191,1
6:18:42,4568,2
6:18:43,4296,4
6:18:43,4569,4
6:18:44,1654,1
6:18:44,2314,1
6:18:45,4315,1
6:18:48,3891,2
6:18:51,3182,2
6:18:51,4418,1
6:18:52,4567,1
6:18:52,4443,1
6:18:52,4317,4
6:18:53,1612,3
6:19:00,4045,2
6:19:00,4436,1
6:19:00,2532,4
6:19:03,3111,1
6:19:04,2904,4
6:19:04,4548,4
6:19:07,1682,1
6:19:08,4493,2
6:19:09,2231,2
6:19:09,2710,1
6:19:12,4550,4
6:19:14,3004,4
6:19:17,3124,1
6:19:18,4440,1
6:19:21,1549,1
6:19:22,2796,1
6:19:24,1734,1
6:19:24,3839,4
6:19:27,2617,3
6:19:27,1609,2
6:19:28,1680,4
6:19:28,3625,4
6:19:30,4344,1
6:19:30,4372,2
6:19:30,3283,3
6:19:31,3291,1
6:19:31,1961,2
6:19:33,1615,1
6:19:35,2774,4
6:19:36,1489,1
6:19:37,4534,2
6:19:37,4227,3
6:19:39,2203,2
6:19:39,1724,4
6:19:40,4283,1
6:19:40,1870,1
6:19:41,4306,2
6:19:42,3080,3
6:19:43,4450,2
6:19:45,3244,2
6:19:46,2945,2
6:19:47,3736,3
6:19:51,3794,2
6:19:53,4267,2
6:19:56,2940,4
6:19:57,4510,1
6:19:57,1650,3
6:19:58,1629,2
6:20:00,1525,2
6:20:00,4544,1
6:20:00,4486,2
6:20:02,3792,4
6:20:06,3636,2
6:20:08,3566,2
6:20:10,4472,3
6:20:11,2736,3
6:20:16,2106,2
6:20:17,3475,3
6:20:17,2367,2
6:20:18,3921,2
6:20:18,1629,1
6:20:19,3132,2
6:20:20,1763,2
6:20:22,2389,1
6:20:27,1663,3
6:20:29,4536,2
6:20:30,2209,4
6:20:32,2664,3
6:20:33,4385,4
6:20:33,4060,2
6:20:35,2754,2
6:20:35,3688,1
6:20:37,4431,1
6:20:37,4393,4
6:20:38,2066,3
6:20:38,1662,1
6:20:39,3429,1
6:20:39,4447,4
6:20:39,2300,3
6:20:39,3050,2
6:20:39,4354,3
6:20:41,2311,4
6:20:42,3316,4
6:20:42,2195,1
6:20:44,3451,2
6:20:44,4395,2
6:20:45,1653,3
6:20:50,2518,3
6:20:50,3127,1
6:20:51,1563,2
6:20:52,3400,3
6:20:53,3391,2
6:20:54,4432,3
6:20:57,1612,1
6:21:00,3896,3
6:21:00,2301,2
6:21:00,3365,4
6:21:01,1892,1
6:21:03,3944,4
6:21:03,2298,1
6:21:04,4512,3
6:21:05,2664,4
6:21:07,4014,2
6:21:07,4424,1
6:21:07,3463,1
6:21:09,2573,4
6:21:09,4246,4
6:21:09,4527,4
6:21:10,4536,4
6:21:11,4371,1
6:21:11,4372,1
6:21:12,1943,4
6:21:12,1511,1
6:21:13,4341,4
6:21:14,4426,1
6:21:15,2330,3
6:21:15,2525,4
6:21:16,4377,4
6:21:17,2769,1
6:21:17,3612,2
6:21:18,2332,4
6:21:18,3581,4
6:21:18,3581,2
6:21:19,1707,4
6:21:20,2436,4
6:21:21,2935,4
6:21:22,2001,1
6:21:22,2002,2
6:21:24,2322,2
6:21:25,2277,2
6:21:26,1553,2
6:21:29,4479,2
6:21:31,2345,4
6:21:31,2615,2
6:21:31,4461,2
6:21:33,3826,2
6:21:35,2823,3
6:21:37,2325,4
6:21:39,3484,2
6:21:40,4274,1
6:21:40,4057,1
6:21:45,4120,3
6:21:47,3742,4
6:21:48,4215,1
6:21:49,1456,4
6:21:50,1652,1
6:21:51,1612,3
6:21:52,3255,2
6:21:53,1720,3
6:21:53,1716,2
6:21:55,2780,2
6:21:57,4515,3
6:21:57,2721,1
6:21:58,1724,4
6:21:58,3003,1
6:22:00,2387,2
6:22:00,2032,1
6:22:01,3090,4
6:22:01,3205,3
6:22:01,3270,2
6:22:01,2720,2
6:22:01,4519,3
6:22:02,4449,3
6:22:03,4427,1
6:22:06,4471,1
6:22:06,3113,4
6:22:06,2121,3
6:22:06,4459,4
6:22:08,1941,2
6:22:08,1495,1
6:22:09,4350,3
6:22:09,4424,1
6:22:10,4325,3
6:22:12,2195,4
6:22:13,3960,1
6:22:13,3829,2
6:22:14,2795,3
6:22:16,4187,3
6:22:18,1548,4
6:22:18,4212,3
6:22:19,3533,1
6:22:19,1627,2
6:22:20,4263,1
6:22:20,4261,1
6:22:22,2497,4
6:22:23,3823,4
6:22:27,1870,3
6:22:28,3281,3
6:22:30,1559,1
6:22:32,2981,3
6:22:32,4568,2
6:22:32,3945,1
6:22:32,2233,3
6:22:33,2510,4
6:22:35,4346,1
6:22:35,1756,4
6:22:35,4346,2
6:22:36,3648,2
6:22:39,3321,2
6:22:40,4330,4
6:22:42,4440,1
6:22:44,4416,4
6:22:45,4003,1
6:22:46,3978,4
6:22:46,1628,2
6:22:46,3910,3
6:22:48,1924,1
6:22:48,4445,1
6:22:49,1512,1
6:22:51,1513,2
6:22:56,3882,3
6:22:58,4409,3
6:23:00,1739,4
6:23:01,4465,4
6:23:01,1835,3
6:23:01,4222,3
6:23:03,2441,1
6:23:03,4315,1
6:23:03,1711,2
6:23:03,3926,4
6:23:06,2472,2
6:23:07,2465,3
6:23:08,1940,4
6:23:10,2704,4
6:23:13,3404,3
6:23:13,4464,2
6:23:15,3383,4
6:23:15,3696,1
6:23:15,4034,4
6:23:16,2711,1
6:23:16,1786,3
6:23:16,3373,1
6:23:16,1786,4
6:23:17,2480,2
6:23:17,2500,3
6:23:17,2480,1
6:23:18,4578,1
6:23:23,3414,4
6:23:23,4178,3
6:23:24,4038,3
6:23:25,2091,4
6:23:25,4527,2
6:23:26,4129,3
6:23:28,4531,3
6:23:29,4435,1
6:23:29,1930,4
6:23:29,1737,4
6:23:29,4435,2
6:23:32,1620,4
6:23:34,1502,4
6:23:34,4204,2
6:23:35,1625,4
6:23:35,1503,1
6:23:36,1512,1
6:23:37,2760,3
6:23:37,4494,4
6:23:44,2784,2
6:23:45,2019,4
6:23:46,4464,3
6:23:47,4496,1
6:23:48,3888,4
6:23:48,3468,1
6:23:49,4418,4
6:23:49,2378,2
6:23:49,3413,4
6:23:51,3134,2
6:23:51,1803,4
6:23:55,2529,1
6:23:56,4375,2
6:23:56,3704,2
6:23:57,4429,1
6:23:59,3003,2
6:23:59,1449,1
6:24:00,3723,1
6:24:03,2035,2
6:24:04,2063,1
6:24:05,3565,3
6:24:06,1936,2
6:24:06,1801,2
6:24:10,3491,4
6:24:10,2041,4
6:24:10,2495,2
6:24:15,4445,4
6:24:15,1624,4
6:24:17,4157,4
6:24:19,4098,1
6:24:20,1520,1
6:24:21,4531,2
6:24:22,1483,4
6:24:24,2836,3
6:24:24,3806,3
6:24:25,3727,3
6:24:27,4339,2
6:24:29,3808,3
6:24:33,3268,3
6:24:37,2226,1
6:24:38,3890,1
6:24:44,2499,2
6:24:44,4555,1
6:24:45,1597,1
6:24:47,2628,4
6:24:48,4529,2
6:24:49,1567,2
6:24:52,4103,4
6:24:52,4450,1
6:24:54,2251,1
6:24:56,2560,1
6:24:56,1454,3
6:24:57,3391,3
6:25:00,2905,1
6:25:00,3856,4
6:25:00,4075,2
6:25:00,3828,4
6:25:06,4408,2
6:25:06,2880,2
6:25:07,2941,3
6:25:11,2735,1
6:25:11,3384,4
6:25:13,4331,3
6:25:15,4267,3
6:25:15,2448,4
6:25:16,1879,2
6:25:17,3630,1
6:25:17,4402,1
6:25:17,4403,2
6:25:21,2320,3
6:25:21,3471,4
6:25:23,3914,1
6:25:25,3565,2
6:25:25,3339,4
6:25:25,1628,2
6:25:28,3652,1
6:25:28,4155,2
6:25:32,2009,4
6:25:33,2437,2
6:25:33,2369,3
6:25:36,3993,3
6:25:40,4571,3
6:25:42,2097,2
6:25:43,3510,3
6:25:43,1686,3
6:25:43,1540,4
6:25:44,1493,3
6:25:44,4124,4
6:25:51,4271,1
6:25:51,4214,1
6:25:52,4403,1
6:25:53,4373,4
6:25:54,3821,4
6:25:55,3009,2
6:25:56,2688,2
6:25:57,3514,2
6:25:58,1856,3
6:25:58,2479,3
6:25:58,1776,1
6:25:59,4559,2
6:26:00,4093,1
6:26:00,1651,3
6:26:00,2477,4
6:26:02,4217,2
6:26:02,2997,1
6:26:04,1987,2
6:26:06,2913,2
6:26:06,2914,2
6:26:07,4402,3
6:26:07,3312,1
6:26:09,3442,1
6:26:09,2184,2
6:26:11,2546,4
6:26:12,2853,2
6:26:13,3251,2
6:26:14,2954,1
6:26:18,2103,2
6:26:18,3543,3
6:26:20,2473,2
6:26:21,3922,3
6:26:21,1971,3
6:26:22,2233,4
6:26:24,3511,4
6:26:25,4368,2
6:26:28,1600,1
6:26:29,4169,3
6:26:33,4078,3
6:26:34,3350,3
6:26:35,2394,3
6:26:35,4262,2
6:26:35,2982,2
6:26:37,2983,2
6:26:40,3475,1
6:26:40,2780,2
6:26:41,3733,2
6:26:41,3982,1
6:26:43,2400,4
6:26:44,1602,1
6:26:45,4350,3
6:26:45,3123,3
6:26:45,2110,2
6:26:46,2245,3
6:26:47,1492,1
6:26:47,4357,2
6:26:47,4161,2
6:26:51,2265,4
6:26:52,4421,2
6:26:52,3883,1
6:26:52,4458,1
6:26:53,1524,1
6:26:54,4442,3
6:26:54,1937,2
6:26:55,1680,1
6:26:56,2446,2
6:26:57,1486,1
6:27:00,2420,3
6:27:05,3458,3
6:27:08,3891,2
6:27:10,1483,2
6:27:12,2023,3
6:27:13,3121,2
6:27:13,3120,1
6:27:13,2834,2
6:27:13,3122,4
6:27:18,4241,1
6:27:20,1905,2
6:27:22,1446,3
6:27:24,3833,2
6:27:29,2946,1
6:27:29,3819,4
6:27:30,3398,4
6:27:32,1660,3
6:27:32,3837,1
6:27:33,4343,2
6:27:36,3394,1
6:27:37,3883,4
6:27:39,4218,4
6:27:41,1509,2
6:27:43,1479,1
6:27:44,3080,2
6:27:44,1961,2
6:27:45,3472,2
6:27:47,2452,4
6:27:48,4254,1
6:27:51,4282,3
6:27:51,4257,4
6:27:57,3682,4
6:27:58,2296,2
6:27:58,1579,1
6:27:58,1799,1
6:27:58,4264,1
6:27:59,4466,3
6:28:00,3238,4
6:28:01,4145,3
6:28:05,1594,1
6:28:05,1969,2
6:28:05,2956,1
6:28:06,2616,1
6:28:06,1457,1
6:28:07,4469,3
6:28:08,3054,3
6:28:08,3185,2
6:28:09,1436,2
6:28:11,1604,1
6:28:12,2421,1
6:28:13,4332,3
6:28:14,3882,2
6:28:18,4489,4
6:28:18,2895,4
6:28:19,1603,2
6:28:20,2855,2
6:28:20,1612,2
6:28:21,2125,3
6:28:21,2270,4
6:28:22,2743,2
6:28:22,2214,1
6:28:22,1482,4
6:28:23,4268,1
6:28:26,3953,2
6:28:26,1647,1
6:28:26,3148,1
6:28:29,4471,1
6:28:29,4287,1
6:28:31,2612,1
6:28:31,1877,2
6:28:32,4166,3
6:28:33,1482,2
6:28:33,2746,2
6:28:35,2160,1
6:28:35,3978,1
6:28:35,2805,1
6:28:36,3853,3
6:28:38,4547,1
6:28:41,4396,1
6:28:45,4369,4
6:28:46,4421,1
6:28:46,1598,3
6:28:48,2203,1
6:28:50,3283,1
6:28:50,2771,2
6:28:51,4565,2
6:28:54,1643,4
6:28:54,1642,4
6:28:57,1638,2
6:28:59,2178,1
6:28:59,2819,1
6:29:00,2177,4
6:29:01,1687,3
6:29:04,1541,1
6:29:08,2181,1
6:29:10,4041,1
6:29:10,3233,3
6:29:10,1458,2
6:29:11,3174,3
6:29:12,4249,2
6:29:13,1618,4
6:29:13,4422,1
6:29:14,1594,4
6:29:15,1814,4
6:29:16,4336,1
6:29:19,2163,2
6:29:19,2945,1
6:29:21,4474,1
6:29:25,4431,3
6:29:26,3857,2
6:29:30,4194,4
6:29:34,3053,3
6:29:34,2015,4
6:29:35,3576,1
6:29:35,1633,2
6:29:36,2764,3
6:29:36,2070,4
6:29:36,2248,1
6:29:36,2255,1
6:29:36,2248,2
6:29:37,2679,1
6:29:42,1804,1
6:29:44,4537,2
6:29:44,1650,4
6:29:46,1476,1
6:29:48,2194,1
6:29:53,4569,1
6:29:53,4180,4
6:29:55,2516,3
6:29:56,3648,2
6:29:59,1501,3
6:29:59,2130,3
6:29:59,3181,2
6:30:02,4512,1
6:30:03,1496,3
6:30:04,4340,3
6:30:05,1626,1
6:30:05,3167,3
6:30:07,2705,4
6:30:07,3989,3
6:30:08,4220,1
6:30:08,3056,1
6:30:08,3041,4
6:30:08,4224,4
6:30:11,4551,3
6:30:12,3478,4
6:30:13,2864,2
6:30:15,3225,4
6:30:15,3707,4
6:30:20,3861,2
6:30:22,3007,2
6:30:25,2296,1
6:30:26,4444,3
6:30:27,3370,1
6:30:28,3726,3
6:30:29,3411,3
6:30:29,2176,4
6:30:31,4524,2
6:30:31,2151,3
6:30:32,3757,2
6:30:34,1486,1
6:30:34,4112,2
6:30:35,4249,2
6:30:35,1425,1
6:30:37,4209,4
6:30:40,2894,1
6:30:41,3032,3
6:30:43,4434,1
6:30:43,2957,1
6:30:45,4440,1
6:30:46,4152,2
6:30:52,1692,1
6:30:56,2759,4
6:30:57,2625,3
6:30:57,2196,2
6:30:58,4234,4
6:30:58,3246,1
6:30:59,4263,1
6:31:00,1707,2
6:31:00,4010,2
6:31:02,2863,2
6:31:02,2971,3
6:31:05,2674,1
6:31:05,2627,2
6:31:10,4451,4
6:31:10,1800,4
6:31:10,4247,4
6:31:11,4537,1
6:31:12,4398,1
6:31:16,1631,4
6:31:16,2755,1
6:31:20,3877,3
6:31:21,1593,1
6:31:27,2224,2
6:31:27,1626,1
6:31:28,2636,2
6:31:31,2193,1
6:31:33,1649,4
6:31:33,4519,1
6:31:34,4528,2
6:31:37,3931,2
6:31:38,3514,4
6:31:39,1508,1
6:31:40,3944,1
6:31:40,3926,2
6:31:42,3946,1
6:31:42,2473,2
6:31:43,2239,1
6:31:43,2936,3
6:31:44,4450,1
6:31:45,4145,2
6:31:45,3017,3
6:31:46,1699,4
6:31:46,4145,3
6:31:47,3393,4
6:31:47,3295,2
6:31:48,2668,2
6:31:48,1726,1
6:31:52,3088,2
6:31:54,4381,3
6:31:56,3275,4
6:31:57,4352,2
6:31:58,1658,3
6:31:59,2518,3
6:32:04,3759,1
6:32:04,3792,2
6:32:05,4565,1
6:32:08,4567,3
6:32:09,1826,2
6:32:10,2770,3
6:32:14,3790,4
6:32:15,2968,2
6:32:15,3836,4
6:32:16,4089,4
6:32:18,4231,3
6:32:19,2603,2
6:32:22,3141,2
6:32:22,4254,3
6:32:22,4559,3
6:32:23,4431,2
6:32:24,2181,2
6:32:24,4109,3
6:32:30,4093,1
6:32:30,3002,2
6:32:34,1497,1
6:32:34,2025,2
6:32:35,2122,1
6:32:37,2658,2
6:32:38,2148,1
6:32:40,2664,1
6:32:41,1590,2
6:32:42,4426,2
6:32:43,2095,4
